circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
76,hs_client_hsdir,built,,46053D5D5916F20C333406F16911711AB55164C0,2020-06-19 12:27:05.512000,2020-06-19 12:27:05.526000,2020-06-19 12:27:05.566000,2020-06-19 12:27:05.650000,2020-06-19 12:27:06.142000,2020-06-19 12:27:05.651000,2020-06-19 12:27:06.143000
77,hs_client_hsdir,failed,destroyed,,2020-06-19 12:27:05.979000,2020-06-19 12:27:05.979000,2020-06-19 12:27:06.058000,2020-06-19 12:27:06.208000,,2020-06-19 12:27:06.301000,
78,hs_client_hsdir,built,,2E6EE0D63EEAA9FF044AA92F951E5767106FF738,2020-06-19 12:27:06.056000,2020-06-19 12:27:06.067000,2020-06-19 12:27:06.109000,2020-06-19 12:27:06.209000,2020-06-19 12:27:06.390000,2020-06-19 12:27:06.390000,
79,hs_client_hsdir,built,,80F89CB42A1257A6145C1B1D6463C795CB99A6A4,2020-06-19 12:27:06.240000,2020-06-19 12:27:06.248000,2020-06-19 12:27:06.300000,2020-06-19 12:27:06.389000,2020-06-19 12:27:06.515000,2020-06-19 12:27:06.516000,
80,hs_client_hsdir,built,,B660E706CD31310DEE27EC73FCEDE1F6D047F3A4,2020-06-19 12:27:06.388000,2020-06-19 12:27:06.396000,2020-06-19 12:27:06.560000,2020-06-19 12:27:06.868000,2020-06-19 12:27:07.231000,2020-06-19 12:27:07.231000,
81,hs_client_hsdir,built,,F8B133B285A78E7FAF8A54F27C153C8C609207E2,2020-06-19 12:27:06.389000,2020-06-19 12:27:06.397000,2020-06-19 12:27:06.442000,2020-06-19 12:27:06.549000,2020-06-19 12:27:07.174000,2020-06-19 12:27:07.174000,
82,hs_client_hsdir,built,,00962D2DD0B9BF3A6AF1D5EB201132388ACA1424,2020-06-19 12:27:06.516000,2020-06-19 12:27:06.517000,2020-06-19 12:27:06.549000,2020-06-19 12:27:06.626000,2020-06-19 12:27:06.903000,2020-06-19 12:27:06.626000,2020-06-19 12:27:06.904000
83,hs_client_hsdir,built,,2E72CDAFA12AE1547795F9BAFF402FC16B653CE0,2020-06-19 12:27:06.580000,2020-06-19 12:27:06.625000,2020-06-19 12:27:06.680000,2020-06-19 12:27:06.803000,2020-06-19 12:27:06.956000,2020-06-19 12:27:06.957000,
84,hs_client_hsdir,built,,F001CD2A9E27B7E3ECD120951CAF968213967B31,2020-06-19 12:27:06.624000,2020-06-19 12:27:06.633000,2020-06-19 12:27:06.734000,2020-06-19 12:27:06.804000,2020-06-19 12:27:06.989000,2020-06-19 12:27:06.990000,
85,hs_client_hsdir,built,,95A5DD4892E89779070DE6FDCF5D1861390619FE,2020-06-19 12:27:07.129000,2020-06-19 12:27:07.140000,2020-06-19 12:27:07.259000,2020-06-19 12:27:07.417000,2020-06-19 12:27:07.695000,2020-06-19 12:27:07.696000,
86,hs_client_hsdir,built,,00C22D3BC1822EB8EA380AF04245337399E796E2,2020-06-19 12:27:07.256000,2020-06-19 12:27:07.264000,2020-06-19 12:27:07.352000,2020-06-19 12:27:07.440000,2020-06-19 12:27:07.598000,2020-06-19 12:27:07.599000,
87,hs_client_hsdir,built,,F8C77C15C14E06874397A0D508D2D2F447B0FA31,2020-06-19 12:27:07.519000,2020-06-19 12:27:07.519000,2020-06-19 12:27:07.555000,2020-06-19 12:27:07.692000,2020-06-19 12:27:07.820000,2020-06-19 12:27:07.821000,
88,hs_client_hsdir,built,,9E866F30B791ACB79ED280D3197D999CBA85A6EF,2020-06-19 12:27:07.519000,2020-06-19 12:27:07.520000,2020-06-19 12:27:07.597000,2020-06-19 12:27:07.673000,2020-06-19 12:27:07.865000,2020-06-19 12:27:07.673000,2020-06-19 12:27:07.866000
89,hs_client_hsdir,built,,21F2F6EC0499097FEF00754D10A03E20F5AEF120,2020-06-19 12:27:07.818000,2020-06-19 12:27:07.862000,2020-06-19 12:27:07.896000,2020-06-19 12:27:08.005000,2020-06-19 12:27:08.117000,2020-06-19 12:27:08.118000,
90,hs_client_hsdir,built,,95B9052EECDB4B833F130ABD564E720643BA7952,2020-06-19 12:27:08.005000,2020-06-19 12:27:08.020000,2020-06-19 12:27:08.050000,2020-06-19 12:27:08.139000,2020-06-19 12:27:08.276000,2020-06-19 12:27:08.277000,
91,hs_client_hsdir,built,,9E8946C1D63AD8FA1641E2F4DD448E8E6FEA8466,2020-06-19 12:27:08.019000,2020-06-19 12:27:08.029000,2020-06-19 12:27:08.071000,2020-06-19 12:27:08.158000,2020-06-19 12:27:08.259000,2020-06-19 12:27:08.259000,
