repetition,num_adv_hsdirs,hsdir_matches_at_least,pubkeys_list_size,time
4,20,1,720,4.483899716986343
4,20,1,900,5.504633058095351
4,20,2,180,172.22933821100742
4,20,2,360,342.2207976850914
4,20,2,540,512.0064272480085
4,20,2,720,678.3668655450456
4,20,2,900,846.9714179320727
4,25,1,180,0.7944798229727894
4,25,1,360,1.8769522139336914
4,25,1,540,2.8343707219464704
4,25,1,720,4.04004604392685
4,25,1,900,5.084827217971906
4,25,2,180,148.94526145095006
4,25,2,360,288.54282545798924
4,25,2,540,426.45034409698565
4,25,2,720,559.1497568259947
4,25,2,900,693.5394830959849
5,10,1,180,2.2036526108859107
5,10,1,360,4.35730170388706
5,10,1,540,6.2218341659754515
5,10,1,720,7.964874951983802
5,10,1,900,9.852499355911277
5,10,2,180,730.6489507089136
5,10,2,360,1413.685227510985
5,10,2,540,2091.805775833898
5,10,2,720,2769.113176383893
5,10,2,900,3414.003534855903
5,15,1,180,1.3000294760568067
5,15,1,360,2.6662909620208666
5,15,1,540,3.8717262690188363
5,15,1,720,5.078352873097174
5,15,1,900,6.358519225032069
5,15,2,180,224.56317600805778
5,15,2,360,471.9889102120651
5,15,2,540,703.349668705021
5,15,2,720,965.6959499060176
5,15,2,900,1198.8520543740597
5,20,1,180,1.3823974950937554
5,20,1,360,2.681154088000767
5,20,1,540,3.824428284075111
5,20,1,720,4.955047891009599
5,20,1,900,6.0849004270276055
5,20,2,180,41.94322546105832
5,20,2,360,85.13434438302647
5,20,2,540,120.05461791006383
5,20,2,720,161.02895084908232
5,20,2,900,202.15420484705828
5,25,1,180,0.9588085960131139
5,25,1,360,1.7719504419947043
5,25,1,540,2.8193117879563943
5,25,1,720,3.9328724689548835
5,25,1,900,5.1294760319869965
5,25,2,180,24.88325331103988
5,25,2,360,56.19934418704361
5,25,2,540,88.24422345799394
5,25,2,720,111.29778962093405
5,25,2,900,140.01572871697135
6,10,1,180,2.624034679029137
6,10,1,360,5.169978349003941
6,10,1,540,7.536579604959115
6,10,1,720,9.906784464023076
6,10,1,900,12.008239793940447
6,10,2,180,841.4694820779841
6,10,2,360,1960.344227057998
