nickname,fingerprint,or_address_v4,dir_address,country,advertised_bandwidth,guard_probability
nl2xtracodews,213F2B4AB09EE6FF8CA21B804B2E1BD8835088D3,51.15.42.172:9001,51.15.42.172:9030,nl,20861755,0.00063528086
pataky,C37F87C0125E26E6ACF54366FA2198209E856ABE,185.80.222.164:443,185.80.222.164:80,nl,17201139,0.0006056344
CCrelay1337,131FBC8A3D4B44DE9B258ADC58674082B1E06D2C,188.40.238.144:9001,188.40.238.144:9030,de,14857857,0.0005294007
niftywabbit8,FDFD675D05216549EB7DA545E32ECFCEEAE805F2,185.220.101.208:10208,185.220.101.208:20208,de,13459456,0.0005061071
Piratenpartei01,163303F0583A1917326214379BD1AB2D286046EA,185.233.106.34:9001,185.233.106.34:9030,de,18669990,0.00048281348
Torsti,0EFF185569EC180F7027C060C5CB71272B5F8C44,188.68.34.96:9001,188.68.34.96:9030,de,17700346,0.00046587264
Fission12,C303038FDCC72805A160FF64E994333A49ECDA71,54.38.219.251:443,54.38.219.251:80,fr,19973797,0.0004446966
mitsuha,C0DAAAE5EE461BBE13945FE4B52F32ABDC6BC376,51.15.246.170:443,51.15.246.170:80,fr,10485760,0.00032611086
Viserion,4C5B8134341E66CB09246985E4039F9BFC0ADCE3,185.225.69.60:443,185.225.69.60:80,hu,12068399,0.00032399324
Theoden,5262556D44A7F2434990FDE1AE7973C67DF49E58,176.223.141.106:443,176.223.141.106:80,lt,11125096,0.00031764043
okonomiyaki,3FF88CAE0BCE85191D8DBBD0BE0E62156AB631AB,188.165.180.9:9001,188.165.180.9:9030,fr,9918464,0.0003006996
anotherrelay1,520952098AEC08A9FAF2802482A61AB1BF2EAC2A,144.76.118.86:9001,144.76.118.86:9030,de,6553600,0.0002752884
SomeKG,4FCF975D71A8663E8066BD1431D8E9459DBE2EAB,209.44.122.221:443,none,ca,12258063,0.00026470036
mitropoulos,F5DB8E33F8D351B600932251EFE67357485405F2,212.83.61.218:443,212.83.61.218:80,de,25351168,0.0002138779
TheBaconaTOR,B27115A20B05D40730A4020145EFA63381D9D51B,38.68.135.5:9001,38.68.135.5:9030,us,11124883,0.0002117603
Pasquino3,3A94EFBF4A220B35A92D0A5B4A80D6324C3C306A,209.44.114.178:42509,209.44.114.178:9030,ca,8388608,0.00018063153
BASIS,09F3067452D8D1DAFD33D0524A41DBF5295D3472,45.125.65.118:9001,45.125.65.118:9030,hk,7994865,0.00015987903
sputnik,AD19490C7DBB26D3A68EFC824F67E69B0A96E601,188.40.128.246:9001,188.40.128.246:9030,de,4096000,0.000112232956
Unnamed,740E4C4842E4C190DFEC278EC1FD754FD261A864,88.90.66.116:9001,88.90.66.116:9030,no,3276800,7.7080746e-05
snailharvest,62326F738A16C74CFC048768FBC9E81AE13A08FE,3.125.19.233:9001,3.125.19.233:9030,de,2465123,6.755153e-05
