nickname,fingerprint,is_guard,is_exit,country,region_name,city_name,latitude,longitude,as,advertised_bandwidth,guard_probability,middle_probability,exit_probability
iansh13fe,E0C3346EBDB9746185D574B92E503DC9AEB160BE,True,True,us,unknown,unknown,unknown,unknown,unknown,10781495,0.0,0.0,0.00034714246
Unnamed,E0EFD66FE7C11EAADF43965AD5D53CB466753E93,False,False,ca,Ontario,Toronto,43.7806,-79.3503,AS174,7587405,0.0,0.00027163755,0.0
Cosworth02,E0F638ECCE918B5455CE29D2CD9ECC9DBD8F8B21,True,False,pl,unknown,unknown,52.2394,21.0362,AS16276,12063080,0.00025100086,0.00017561154,0.0
ub4,E11FC7C83F417808A4CDD84A5ABFC112844C477A,True,False,fr,Auvergne-Rhone-Alpes,Lyon,45.748,4.85,AS12322,10485760,0.00031584277,0.00022097785,0.0
legoman,E130296683B896A117CE5DA531A5645644178734,False,False,gb,unknown,unknown,51.4964,-0.1224,AS200052,29530390,0.0,0.00079997967,0.0
DrebtorUSWest21,E1382D287705E5197461F25039AD08A9B97D001F,False,False,us,California,Santa Clara,37.3417,-121.9753,AS14061,481280,0.0,4.195449e-06,0.0
ipheiboqu8oorai8Ais,E13F7EE1535ED8AEAB92A5EEAEE9A0C782ED33E2,True,False,fi,unknown,unknown,60.1708,24.9375,AS29422,13107200,0.00030120104,0.00021073385,0.0
CanardusGER,E1468D867FA3230EC1DACFCA87A800BAF22E79E0,True,False,de,unknown,unknown,51.2993,9.491,AS24940,24985325,0.00094125327,0.00065854326,0.0
VonKuenheimRelay,E14B30A83FF80C576B2EC0F2C8A5F29D41B8DC8E,True,False,de,unknown,unknown,51.2993,9.491,AS24940,12465152,0.00040369306,0.0002824419,0.0
BOOTCHAROO2,E14D10669DD6E472235F8F0161544B4E7B7CB3C7,True,False,us,New Jersey,Union,40.6947,-74.2688,AS701,6484429,0.00014265216,9.980589e-05,0.0
tor4ever18,E16C80C7061692FD68846AA922710691F19DBEA9,False,False,ca,unknown,unknown,43.6319,-79.3716,AS31798,5264475,0.0,0.00020906136,0.0
hypergrass,E17745C64255D2920D9B9FCF9EF930C426EE4A91,True,False,de,North Rhine-Westphalia,unknown,51.4476,7.0122,AS8972,14684612,0.0003765013,0.0002634173,0.0
Unnamed,E185A006CD1ED8BBCC80193E891E9B392BF0A8EC,False,False,lt,unknown,unknown,56.0,24.0,AS59642,6914362,0.0,0.0003982121,0.0
atorrelayredux,E19F193179F75B67137D15392C625503D50A4EA3,True,True,us,Florida,Orlando,28.6225,-81.4317,AS33363,3200000,0.0,0.0,9.526412e-05
HomeRelay,E1A24015947A6302F7DE89BB16E4FA3812B7C65B,False,False,us,Texas,Austin,30.2095,-97.7972,AS16591,3687424,0.0,0.00011128606,0.0
debouch,E1A245B3A64D426870B653A62BE1D87C39910022,False,False,sg,unknown,Singapore,1.2929,103.8547,AS63949,1933159,0.0,1.8132872e-05,0.0
SwordHogwrts,E1B54925C59ECE813269B9A3309B7A5EB57E9B98,True,False,de,Hesse,Frankfurt am Main,50.1188,8.6843,AS45102,4048810,7.739194e-05,5.414689e-05,0.0
grandma,E1BAB4F5B0E9D7891DCD9790C8F186D81728348F,True,False,de,North Rhine-Westphalia,Dortmund,51.4856,7.5366,AS3320,2668591,3.5558456e-05,2.4878302e-05,0.0
Unnamed,E1D17BDC053225FB0AF1FD07A3DBDACD7412D6CD,False,False,us,North Carolina,unknown,35.2296,-80.843,unknown,7813350,0.0,0.0002773263,0.0
Unnamed,E1DE607E31C2C0FB6F8FC959BF7B58CE35D95990,True,False,de,unknown,unknown,51.2993,9.491,AS24940,29730556,0.001052112,0.000736105,0.0
tordotcissincdotca,E1DE9A166877667360BECB7680E09724D8D015FE,False,False,ca,Quebec,Laval,45.5984,-73.7159,AS5769,102400,0.0,4.2665582e-07,0.0
LxcTorNode,E1EEAA9167B40A367D9AB43033648800E9AE2E74,False,False,nl,South Holland,Voorschoten,52.1399,4.4576,AS3265,2760433,0.0,5.6887446e-05,0.0
tornekwi01,E20A99DE17D99F73D888C7D33C46807B71A197FB,True,False,us,Wisconsin,Kenosha,42.5601,-87.8756,AS10352,3091054,6.484189e-05,4.5366316e-05,0.0
Unnamed,E223385680ADBA057CC2EB27CB19F0D417689933,False,False,lt,unknown,unknown,56.0,24.0,AS16125,5537449,0.0,0.00019910606,0.0
cooperhunterredmi,E233F3609689B34A86B15ECEB6DE7B51AA311704,False,True,lv,unknown,unknown,57.0,25.0,AS43513,614400,0.0,0.0,7.125756e-06
VimRulzEmacsBlowz,E235941C8403FB63EC91436FA4DCF6B020EB51A2,True,False,us,California,Fremont,37.5625,-122.0004,AS63949,6464327,0.00012968379,9.073263e-05,0.0
thetdtorrelay,E23931923121DA64C12CB6AA20B6F2C3E55627FF,False,False,de,Hesse,Frankfurt am Main,50.1103,8.7147,AS20473,524288,0.0,9.315319e-06,0.0
bitcoingang,E263B860EFA177F0DDE30C381F893F2805C140DC,False,False,hu,Budapest,Budapest,47.4977,19.0791,AS20845,10233252,0.0,0.00042665584,0.0
NvorDarkdrop,E26635F9ED41CDA8467C2AA992D81074337602EF,False,False,ca,Ontario,Toronto,43.6547,-79.3623,AS14061,985892,0.0,2.3288298e-05,0.0
sinilaukka,E27884DF9B49E3908890955D541D46888D31E57A,False,False,fi,Uusimaa,Espoo,60.2259,24.8221,AS16086,85395,0.0,7.1109305e-08,0.0
obersee,E282ECAA9DD45ABE12D56FCBB33B168487C48AF7,False,False,de,North Rhine-Westphalia,unknown,51.4476,7.0122,AS8972,102400,0.0,4.2665582e-07,0.0
Unnamed,E2AB420FC7D9513C79D034BEF9A977635E4E7851,False,False,us,Florida,Jacksonville,30.1426,-81.5727,unknown,7307264,0.0,0.00012586347,0.0
Zimmer22019,E2B8DEC970657EE1CB872F37E81E59526285EF3F,True,True,md,Chi\u0219in\u0103u Municipality,Chisinau,47.0052,28.8573,AS200019,6628828,0.0,0.0,0.00018290711
niftyentry88,E2B9BA96723C59E65AE07E82B74C7A31AF874225,True,True,de,unknown,unknown,51.2993,9.491,AS200052,19270304,0.0,0.0,0.0011546011
hviv113,E2BAAFECE5C3D3B4FFE6173B3097948E0F730623,True,True,nl,North Holland,Amsterdam,52.35,4.9167,AS1101,13619896,0.0,0.0,0.00075068127
ElToro,E2C6AFE3A347B14CF6382A5EA8C63B50F7C4791A,False,False,at,Styria,Raaba,47.0333,15.5,AS6830,98925,0.0,1.4221861e-07,0.0
bauruine111,E2CF09F998248C71139B24B2C92740AEDB1C6D2A,True,False,us,California,Brea,33.9339,-117.8854,AS26347,16881272,0.00035558458,0.000248783,0.0
maude,E2D9035061E3D133B2CA4DA3383AEAACCC0733E1,True,False,us,New Jersey,Matawan,40.4652,-74.2307,AS20473,9958280,0.0002489092,0.00017414811,0.0
ExplorationRelay,E300CEE2255A22B3DF52E798A3237D53AFAEC2F3,False,True,nz,Auckland,Auckland,-36.8506,174.7679,AS23655,3880659,0.0,0.0,3.0103462e-05
TOR2503,E309E2E3C3F4472A83F3226C315818DB07BF77BA,False,False,at,Lower Austria,Himberg,48.12,16.3932,AS12793,1381285,0.0,3.9110117e-05,0.0
Daenerys,E312A938D71045BE3A5C1FF3AB87CF7464194861,True,False,lu,Mersch,Roost,49.7867,6.0961,AS53667,6455415,0.0002008007,0.00014048922,0.0
niftyexit,E321D0118DAD44BBC74A5C26FE7CFDBAAF3DA077,True,True,de,unknown,unknown,51.2993,9.491,AS200052,15931189,0.0,0.0,0.0008573771
UndergroundAirways,E32ED3A610CFC9F65BC72D311DC1B3D989400D97,False,False,nz,Bay of Plenty,Tauranga,-37.6846,176.162,AS55850,451981,0.0,6.7909386e-06,0.0
niftyentry71,E330A88754840629644527394FD43001D5B89C7A,True,True,de,unknown,unknown,51.2993,9.491,AS200052,19953503,0.0,0.0,0.0008764299
doof,E3323FA93DECF9E6763CA95F0EE24E71293316DA,False,False,us,unknown,unknown,37.751,-97.822,AS395823,1146171,0.0,1.3901869e-05,0.0
Unnamed,E33CB42667DC1FB88F7F02469762D71886DC8DB4,True,False,de,unknown,unknown,51.2993,9.491,AS24940,3145728,0.00011629707,8.136668e-05,0.0
shortliferelay,E33CFFD6F03D53784993802B33DFAE2B178C60C9,False,False,us,Nevada,Las Vegas,36.1685,-115.1164,AS53667,1024000,0.0,1.6639577e-05,0.0
Carnavafoire,E34C28D652520D7C8D386EA3958EA924910E647B,True,False,in,unknown,unknown,20.0,77.0,AS394695,6960751,4.8317666e-05,3.380522e-05,0.0
guitti,E3500E2C9F6B87085056893C4279AEA0B3F37782,True,False,de,unknown,unknown,51.2993,9.491,AS24940,10415445,0.00031375108,0.00021951442,0.0
KagamineLenAkatsuki,E351F94CF18E8CE8837549497B48559FA9D8B229,False,False,jp,Tokyo,Tokyo,35.798,140.1803,AS31898,3435203,0.0,2.7839293e-05,0.0
naiveTorer,E36536404200A74930DB165858BD5BB554D2BEA2,True,False,ch,Zurich,Zurich,47.3664,8.5546,AS13030,62728139,0.002091674,0.0014634295,0.0
Z10n,E37322752F135A344FA33E17F4AFA74C27A687E6,True,False,ca,Quebec,Beauharnois,45.3161,-73.8736,AS16276,11383718,0.00023845083,0.00016683096,0.0
hackeriet1,E379A6CACEFAFE1B8EA68503BFCFF1215BF1EE7F,True,True,no,Oslo County,Oslo,59.8468,10.7747,AS50304,6291456,0.0,0.0,0.00029722406
